Code: 573 Name: A S U O, ID: 51771, Is Active: True
Code: 174 Name: Academic Advising, Office of, ID: 51772, Is Active: True
Code: 178 Name: Accessible Education Center, ID: 51774, Is Active: True
Code: 193 Name: Admissions, ID: 51775, Is Active: True
Code: 199 Name: Affirmative Action, ID: 51776, Is Active: True
Code: 7 Name: American English Institute, ID: 51777, Is Active: True
Code: 200 Name: Anthropology, ID: 51779, Is Active: True
Code: 6333 Name: Applied Second Lang St, ID: 51780, Is Active: True
Code: 20618 Name: Aquatic Animal Care Services, ID: 51781, Is Active: True
Code: 201 Name: Architecture, ID: 51782, Is Active: True
Code: 75 Name: Art Department, ID: 51785, Is Active: True
Code: 20 Name: Asian Studies, ID: 51787, Is Active: True
Code:  Name: AUTH-ONLY, ID: 56182, Is Active: True
Code: 12844 Name: Behavioral Research, ID: 51788, Is Active: True
Code: 208 Name: Biology Department, ID: 51789, Is Active: True
Code: 20622 Name: Board of Trustees, ID: 51790, Is Active: True
Code: 1188 Name: Budget and Resource Planning, ID: 51791, Is Active: True
Code: 222 Name: Business Affairs Office, ID: 51792, Is Active: True
Code: 25 Name: Business, Lundquist College of, ID: 51793, Is Active: True
Code: 33 Name: C D R C, ID: 51794, Is Active: True
Code: 20422 Name: CAMCOR, ID: 51795, Is Active: True
Code: 530 Name: Campus Copy Center, ID: 51800, Is Active: True
Code: 386 Name: Campus Planning and Facilities Management, ID: 55843, Is Active: True
Code: 20591 Name: CASIT, ID: 51796, Is Active: True
Code: 863 Name: Center for Advanced Technology In Education, ID: 51804, Is Active: True
Code: 575 Name: Center for Asian and Pacific Studies, ID: 51805, Is Active: True
Code: 20626 Name: Center for Assessment, Statistics & Evaluation, ID: 51806, Is Active: True
Code: 686 Name: Center for Housing Innovation, ID: 51807, Is Active: True
Code: 20549 Name: Center for Intercultural Dialogue and Peace, ID: 51808, Is Active: True
Code: 20584 Name: Center for Latino/a & Latin American Studies, ID: 51809, Is Active: True
Code: 35 Name: Center for Multicultural Academic Excellence, ID: 51810, Is Active: True
Code: 541 Name: Center for the Study of Women in Society, ID: 51811, Is Active: True
Code: 20671 Name: Center for Translational Neuroscience, ID: 81523, Is Active: True
Code: 20619 Name: Center on Brain Injury Research and Training, ID: 51812, Is Active: True
Code: 20418 Name: Center on Teaching and Learning, ID: 51813, Is Active: True
Code: 63 Name: CEPM, ID: 51797, Is Active: True
Code: 250 Name: Chemistry and Biochemistry, ID: 51814, Is Active: True
Code: 256 Name: Classics, ID: 51816, Is Active: True
Code: 20621 Name: COACh, ID: 51798, Is Active: True
Code: 19671 Name: CODAC, ID: 51799, Is Active: True
Code: 257 Name: Cognitive and Decision Sciences, ID: 51817, Is Active: True
Code: 1 Name: College of Arts and Sciences, ID: 51818, Is Active: True
Code: 3 Name: College of Design, ID: 55844, Is Active: True
Code: 20553 Name: College of Design, Portland, ID: 51783, Is Active: True
Code: 12425 Name: Communication Disorders and Sciences, ID: 51819, Is Active: True
Code: 259 Name: Comparative Literature Department, ID: 51821, Is Active: True
Code: 41 Name: Comparative Literature Journal, ID: 51822, Is Active: True
Code: 754 Name: Computational Intelligence Research Laboratory (CIRL), ID: 51823, Is Active: True
Code: 1685 Name: Computational Science, ID: 51824, Is Active: True
Code: 260 Name: Computer and Information Science, ID: 51825, Is Active: True
Code: 149 Name: Continuing and Professional Education, ID: 51773, Is Active: True
Code: 262 Name: Counseling Psychology, ID: 51827, Is Active: True
Code: 10784 Name: Counseling Psychology and Human Services, ID: 51828, Is Active: True
Code: 12630 Name: Couples and Family Therapy Program, ID: 51830, Is Active: True
Code: 806 Name: Creative Writing Program, ID: 51831, Is Active: True
Code: 264 Name: Dance Department, ID: 51832, Is Active: True
Code: 443 Name: Dean of Students, Office of the, ID: 51833, Is Active: True
Code: 20585 Name: Department of Cinema Studies, ID: 59027, Is Active: True
Code: 341 Name: Division of Global Engagement, ID: 51893, Is Active: True
Code: 10809 Name: Division of Student Life, ID: 51835, Is Active: True
Code: 10881 Name: Early Childhood Research, ID: 51836, Is Active: True
Code: 424 Name: Early Intervention, ID: 51837, Is Active: True
Code: 282 Name: Earth Sciences, ID: 51838, Is Active: True
Code: 66 Name: East Asian Languages, ID: 51839, Is Active: True
Code: 266 Name: Economics, ID: 51840, Is Active: True
Code: 426 Name: Ed Early Childhood CARES, ID: 51841, Is Active: True
Code: 267 Name: Education, ID: 51842, Is Active: True
Code: 12607 Name: Education Studies, ID: 51843, Is Active: True
Code: 430 Name: Educational and Community Supports, ID: 51846, Is Active: True
Code: 42 Name: Educational Methodology, Policy, and Leadership, ID: 51844, Is Active: True
Code: 14483 Name: Educational Policy Research, ID: 51845, Is Active: True
Code: 1131 Name: Electronic Studying, ID: 51847, Is Active: True
Code: 98 Name: Emerald Media Group, ID: 51848, Is Active: True
Code: 20580 Name: Emergency Management & Continuity, ID: 51849, Is Active: True
Code: 70 Name: English Department, ID: 51850, Is Active: True
Code: 269 Name: Environmental Health and Safety, ID: 51851, Is Active: True
Code: 273 Name: Environmental Studies, ID: 51852, Is Active: True
Code: 52 Name: Erb Memorial Union, ID: 51853, Is Active: True
