Bldg #,Leased,Building Name,Building Address,Bldg Type*,GSF*
B0001,False,Lawrence Hall,1190 Franklin Blvd.,E&G,"154,536"
B0002,False,Chiles (Earle A.) Business Center,925 E. 13th,E&G,"14,294"
B0003,False,Anstett Hall,965 E. 13th,E&G,"19,784"
B0004,False,Condon Hall,1321 Kincaid,E&G,"42,325"
B0005,False,University Hall,1201 Old Campus Lane,E&G,"26,616"
B0006,False,Chapman Hall,990 E. 13th,E&G,"23,416"
B0007,False,Lorry I. Lokey Education Building (A & B),1580 Kincaid; 1571 Alder,E&G,"35,125"
B0008,False,Prince Lucien Campbell Hall,1415 Kincaid,E&G,"107,093"
B0009,False,Friendly Hall,1161 E. 13th,E&G,"40,892"
B0010,False,HEDCO Education Bldg,1655 Alder,E&G,"118,967"
B0011,False,Gerlinger Hall,1468 University,E&G,"66,368"
B0014,False,University Health Services,1590 E. 13th Avenue,AUXS,"77,192"
B0015,False,Volcanology,1255 E. 13th,E&G,"19,687"
B0016,False,Johnson Hall,1098 E. 13th,E&G,"33,804"
B0017,False,Allen (Eric W.) Hall,1020 University,E&G,"59,202"
B0018,False,Knight Library,1501 Kincaid,E&G,"398,815"
B0019,False,Fenton Hall,1021 E. 13th,E&G,"27,978"
B0020,False,McArthur Court,1601 University,E&G,"139,883"
B0021,False,Autzen Stadium Main Concourse,2755 Leo Harris Parkway,AUXA,"111,344"
B0021A,False,Autzen Stadium East End Zone/Terrace,2780 Martin Luther King Jr. Blvd.,AUXA,"23,353"
B0021B,False,Autzen Stadium West End Zone,2700 Martin Luther King Jr. Blvd.,AUXA,"14,981"
B0021C,False,Autzen Stadium South Suite Bldg,2755 Leo Harris Parkway,AUXA,"111,786"
B0021D,False,Autzen Stadium North Suite Bldg,2750 Martin Luther King Jr. Blvd.,AUXA,"25,544"
B0022,False,Peterson Hall,935 E. 13th,E&G,"19,221"
B0023,False,Esslinger (Arthur A.) Hall,1525 University,E&G,"33,913"
B0024,False,Schnitzer (Jordan) Museum of Art,1430 Johnson Lane,E&G,"69,547"
B0025,False,Frohnmayer (Marabel B.) Music Building,961 E. 18th,E&G,"112,381"
B0026,False,Wilkinson House,1291 Franklin,E&G,"4,561"
B0027,False,Casanova (Len) Athletic Center,2727 Leo Harris Parkway,AUXA,"112,969"
B0028A,False,Cascade Annex West,1254 Franklin,E&G,"5,017"
B0028B,False,Cascade Annex East,1264 Franklin,E&G,"4,955"
B0029,False,Clinical Services Bldg,901 E. 18th,E&G,"45,949"
B0030,False,McKenzie Hall,1101 Kincaid,E&G,"85,347"
B0031,False,Villard Hall,1109 Old Campus Lane,E&G,"31,173"
B0031A,False,James F. Miller Theatre Complex,1109 Old Campus Lane,E&G,"38,185"
B0032,False,Central Power Station,1155 Franklin,E&G,"57,884"
B0033,False,Erb Memorial Union,1395 University,AUXS,"246,193"
B0034,False,Lillis Hall,955 E. 13th,E&G,"143,085"
B0035,False,Pacific Hall,1025 University,E&G,"126,267"
B0036,False,Columbia Hall,1215 E. 13th,E&G,"28,878"
B0037,False,Onyx Br/Env Health,1318 Franklin,E&G,"61,058"
B0038,False,Klamath Hall,1370 Franklin,E&G,"127,972"
B0038A,False,Allan Price Science Commons & Rsch Library,1344 Franklin,E&G,"43,895"
B0039,False,Computing Center,1225 Kincaid,E&G,"22,746"
B0040,False,Huestis Hall,1425 E. 13th,E&G,"70,204"
B0040A,False,Lorry I Lokey Laboratories,1443 E. 13th,E&G,"26,006"
B0041,False,Lorry I. Lokey Education Building (C),877 E. 16th,E&G,"21,099"
B0042,False,Oregon Hall,1585 E. 13th,E&G,"80,922"
B0043,False,1900 Millrace Drive,1900 Millrace Drive,E&G,"4,437"
B0044,False,Deschutes Hall,1477 E. 13th,E&G,"31,368"
B0045,False,Streisinger (George) Hall,1390 Franklin,E&G,"53,900"
B0046,False,Willamette Hall,1371 E. 13th,E&G,"134,784"
B0047,False,Cascade Hall,1275 E. 13th,E&G,"50,771"
B0048,False,Education Annex,922 E. 16th,E&G,"1,375"
B0049,False,Museum of Natural & Cultural History,1680 E. 15th,E&G,"20,138"
B0050,False,Knight (Wllm. W.) Law Center,1515 Agate,E&G,"147,453"
B0051,False,Student Recreation Center,1320 E. 15th,AUXS,"287,721"
B0052,False,Outdoor Program Barn,1225 E. 18th,AUXS,"6,286"
B0062,False,Gerlinger Annex,1484 University,E&G,"56,243"
B0064,False,Living-Learning Center South,1455 E. 15th,AUXH,"48,748"
B0065,False,Living-Learning Center North,1475 E. 15th,AUXH,"73,589"
B0066,False,Ford Alumni Center,1720 E. 13th,E&G,"69,306"
B0067,False,Jaqua (John. E) Academic Ctr for Student Athletes,1615 E. 13th,AUXA,"44,431"
B0068,False,Bean (Robert Sharp) Hall Complex,1695 E. 15th,AUXH,"165,182"
B0070,False,Lewis (Robert & Beverly) Integrative Science Bldg,1440 Franklin,E&G,"113,621"
B0071,False,Hendricks Hall,1408 University,E&G,"28,568"
B0072,False,Straub (John) Memorial Hall,1451 Onyx,E&G,"102,931"
B0073,False,Earl (Virgil D.) Hall Complex,1323 E. 15th (core),AUXH,"85,733"
B0074,False,Matthew Knight Arena,1776 E. 13th,AUXA,"418,442"
B0075,False,Susan Campbell Hall,1431 Johnson Lane,E&G,"21,308"
B0076,False,Carson (Luella Clay) Hall,1320 Beech,AUXH,"96,099"
B0077,False,Walton (Joshua J.) Hall Complex South,1595 E. 15th,AUXH,"81,007"
B0078,False,Walton (Joshua J.) Hall Complex North,1595 E. 15th,AUXH,"80,447"
B0079,False,Barnhart (H.P.) Hall,1000 Patterson,AUXH,"125,277"
B0080,False,McMorran House,2315 McMorran Dr,E&G,"9,879"
B0081,False,Collier House,1170 E. 13th,E&G,"7,868"
B0082,False,UO Annex,876 E. 12th,E&G,"5,946"
B0083,False,Tree Tops,2237 Spring,E&G,"11,546"
