ID,external ID,room #
-1,001015,015
-1,001028,028
-1,001070,070
-1,001090,090
-1,001100,100
-1,001100A,100A
-1,001101,101
-1,001101A,101A
-1,001105,105
-1,001106,106
-1,001107,107
-1,001107A,107A
-1,001107B,107B
-1,001107C,107C
-1,001110,110
-1,001111,111
-1,001112,112
-1,001115,115
-1,001115A,115A
-1,001115B,115B
-1,001115C,115C
-1,001116,116
-1,001120,120
-1,001121,121
-1,001121A,121A
-1,001124,124
-1,001124A,124A
-1,001125,125
-1,001125A,125A
-1,001125B,125B
-1,001125C,125C
-1,001125D,125D
-1,001126,126
-1,001128,128
-1,001129,129
-1,001141,141
-1,001143,143
-1,001143A,143A
-1,001143B,143B
-1,001145,145
-1,001145A,145A
-1,001146,146
-1,001147,147
-1,001147A,147A
-1,001147B,147B
-1,001147C,147C
-1,001147D,147D
-1,001151,151
-1,001152,152
-1,001152A,152A
-1,001154,154
-1,001156,156
-1,001160,160
-1,001160A,160A
-1,001161,161
-1,001162,162
-1,001162A,162A
-1,001162B,162B
-1,001163,163
-1,001164,164
-1,001166,166
-1,001168,168
-1,001170,170
-1,001171,171
-1,001172,172
-1,001173,173
-1,001174,174
-1,001176,176
-1,001177,177
-1,001177A,177A
-1,001185,185
-1,001186,186
-1,001187,187
-1,001188,188
-1,001190,190
-1,001190A,190A
-1,001190B,190B
-1,001190D,190D
-1,001192,192
-1,001192A,192A
-1,001192B,192B
-1,001192C,192C
-1,001194,194
-1,001194A,194A
-1,001196,196
-1,001197,197
-1,001198,198
-1,001198A,198A
-1,001198B,198B
-1,001198C,198C
-1,001200,200
-1,001202,202
-1,001203,203
-1,001204,204
-1,001205,205
-1,001205A,205A
-1,001205B,205B
-1,001205C,205C
-1,001205D,205D
-1,001205E,205E
-1,001206,206
-1,001206A,206A
-1,001207,207
-1,001208,208
-1,001209,209
-1,001210,210
-1,001210A,210A
-1,001210B,210B
-1,001210C,210C
-1,001210D,210D
-1,001210E,210E
-1,001210F,210F
-1,001210G,210G
-1,001210H,210H
-1,001210I,210I
-1,001210J,210J
-1,001211,211
-1,001212,212
-1,001213,213
-1,001214,214
-1,001215,215
-1,001216,216
-1,001217,217
-1,001218,218
-1,001219,219
-1,001222,222
-1,001227,227
-1,001229,229
-1,001230,230
-1,001231,231
-1,001232,232
-1,001237,237
-1,001237A,237A
-1,001237B,237B
-1,001237C,237C
-1,001237D,237D
-1,001240,240
-1,001241,241
-1,001243,243
-1,001243A,243A
-1,001247,247
-1,001247A,247A
-1,001248,248
-1,001249,249
-1,001251A,251A
-1,001251B,251B
-1,001251C,251C
-1,001251D,251D
-1,001251E,251E
-1,001251F,251F
-1,001252,252
-1,001253,253
-1,001254,254
-1,001254A,254A
-1,001261,261
-1,001262,262
-1,001263,263
-1,001264,264
-1,001264A,264A
-1,001265,265
-1,001266,266
-1,001267,267
-1,001268,268
-1,001269,269
-1,001271,271
-1,001271A,271A
-1,001273,273
-1,001274,274
-1,001274A,274A
-1,001275,275
-1,001277,277
-1,001277A,277A
-1,001278,278
-1,001279,279
-1,001280,280
-1,001281,281
-1,001282,282
-1,001282A,282A
-1,001283,283
-1,001286,286
-1,001290,290
-1,001290A,290A
-1,001290B,290B
-1,001290C,290C
-1,001290D,290D
-1,001290E,290E
-1,001290F,290F
-1,001291,291
-1,001300,300
-1,001301,301
-1,001302,302
-1,001303,303
-1,001304,304
-1,001304A,304A
-1,001305,305
-1,001306,306
-1,001307,307
-1,001308,308
-1,001310,310
-1,001311,311
-1,001312,312
-1,001313,313
-1,001315,315
-1,001316,316
-1,001317,317
-1,001318,318
-1,001319,319
-1,001320,320
-1,001321,321
-1,001322,322
-1,001324,324
-1,001340,340
-1,001370,370
-1,001371,371
-1,001372,372
-1,001373,373
-1,001373A,373A
-1,001374,374
-1,001375,375
-1,001375B,375B
-1,001376,376
-1,001377,377
-1,001378,378
-1,001379,379
-1,001380,380
-1,001381,381
-1,001381A,381A
-1,001381B,381B
-1,001382,382
-1,001382A,382A
-1,001383,383
-1,001400,400
-1,001405,405
-1,001405A,405A
-1,001471,471
-1,001471A,471A
-1,001473,473
-1,001474,474
-1,001475,475
-1,001476,476
-1,001476A,476A
-1,001476B,476B
-1,001476C,476C
-1,001476D,476D
-1,001477,477
-1,001477A,477A
-1,001477B,477B
-1,001477C,477C
-1,001480,480
-1,001481,481
-1,001485,485
-1,001486,486
-1,001487,487
-1,001503,503
-1,001504,504
-1,001E170,E170
-1,001E200,E200
-1,001E270,E270
-1,001E271,E271
-1,001E286,E286
-1,001E290,E290
-1,001E300,E300
-1,001E307,E307
-1,001E370,E370
-1,001E470,E470
-1,001H100,H100
-1,001H112,H112
-1,001H115,H115
-1,001H120,H120
-1,001H140,H140
-1,001H145,H145
-1,001H150,H150
-1,001H165,H165
-1,001H175,H175
-1,001H178,H178
-1,001H190,H190
-1,001H198,H198
-1,001H201,H201
-1,001H202,H202
-1,001H204,H204
-1,001H210,H210
-1,001H222,H222
-1,001H227,H227
-1,001H230,H230
-1,001H240,H240
-1,001H250,H250
-1,001H260,H260
-1,001H270,H270
-1,001H277,H277
-1,001H290,H290
-1,001H301,H301
-1,001H309,H309
-1,001H370,H370
-1,001H371,H371
-1,001H385,H385
-1,001H405,H405
-1,001H470,H470
-1,001H476,H476
-1,001H477,H477
-1,001L100,L100
-1,001L101,L101
-1,001L105,L105
-1,001L120,L120
-1,001L170,L170
-1,001L180,L180
-1,001L285,L285
-1,001M154,M154
-1,001M190,M190
-1,001M191,M191
-1,001M200,M200
-1,001M205,M205
-1,001M210,M210
-1,001M271,M271
-1,001M272,M272
-1,001M273,M273
-1,001M274,M274
-1,001M275,M275
-1,001M276,M276
-1,001M277,M277
-1,001M278,M278
-1,001M279,M279
-1,001M280,M280
-1,001M281,M281
-1,001M282,M282
-1,001M283,M283
-1,001M284,M284
-1,001M285,M285
-1,001ME200,ME200
-1,001ME271,ME271
-1,001MH275,MH275
-1,001MH285,MH285
-1,001ML282,ML282
-1,001MS154,MS154
-1,001MS190,MS190
-1,001MS200,MS200
-1,001MS202,MS202
-1,001MS205,MS205
-1,001MS271,MS271
-1,001MS280,MS280
-1,001R190,R190
-1,001R240,R240
-1,001R250,R250
-1,001R300,R300
-1,001R381,R381
-1,001S015,S015
-1,001S078,S078
-1,001S091,S091
-1,001S101,S101
-1,001S102,S102
-1,001S103,S103
-1,001S115,S115
-1,001S129,S129
-1,001S143,S143
-1,001S154,S154
-1,001S165,S165
-1,001S170,S170
-1,001S178,S178
-1,001S190,S190
-1,001S190A,S190A
-1,001S191,S191
-1,001S200,S200
-1,001S201,S201
-1,001S202,S202
-1,001S203,S203
-1,001S215,S215
-1,001S229,S229
-1,001S243,S243
-1,001S265,S265
-1,001S270,S270
-1,001S271,S271
-1,001S280,S280
-1,001S285,S285
-1,001S290,S290
-1,001S300,S300
-1,001S303,S303
-1,001S305,S305
-1,001S315,S315
-1,001S329,S329
-1,001S370,S370
-1,001S403,S403
-1,001S415,S415
-1,001S470,S470
-1,001S503,S503
-1,001V121,V121
-1,001V166,V166
-1,001V170,V170
-1,001V180,V180
-1,001V197,V197
-1,001V270,V270
-1,001V271,V271
-1,001V273,V273
-1,001V274,V274
-1,001V285,V285
-1,001V290,V290
-1,001V307,V307
-1,001V370,V370
-1,001V373,V373
-1,001V375,V375
-1,001V381,V381
-1,001V470,V470
-1,001V471,V471
-1,001V473,V473
