ID,Banner ID,Building Number,Building Name,Address,Number Rooms,Number Assets,Number Tickets
30337,B0891L,,1199 South A Warehouse,1199 South A St,1,0,0
7773,B0091,,13th Avenue Garage,1355 Columbia,23,0,8
7900,B0568,,1479 Moss,1479 Moss,23,0,4
7956,B0750L,,1600 Millrace Dr,1600 Millrace Drive,300,5,96
7932,B0619,,1629 Moss - NILI,1629 Moss,26,2,2
7848,B0215,,1691 Columbia Alley,1691 Columbia Alley,5,0,2
7951,B0726L,,1715 Franklin,1715 Franklin Blvd.,241,63,194
30278,B0562A,,1739 Moss Alley,1739 Moss Alley,8,0,0
30277,B0561,,1801 Moss,1801 Moss,9,0,0
30207,B0043,,1900 Millrace Drive,1900 Millrace Drive,24,0,0
7970,B0822L,,38 NW Davis,38 NW Davis Street,63,50,22
12419,B0733,,510 Oak St,510 Oak,44,4,11
7953,B0730,,942 Olive,942 Olive Street,30,29,9
7816,B0147,,Agate Hall,1787 Agate,118,38,39
7817,B0148,,Agate House,1795 Agate,17,0,1
7846,B0200,,Alder Building,818 E. 15th,79,11,15
7724,B0038A,,Allan Price Science Commons & Rsch Library,1344 Franklin,74,121,21
7696,B0017,,Allen (Eric W.) Hall,1020 University,195,396,130
7682,B0003,,Anstett Hall,,71,95,7
30235,B0116,,Archaeology Research,1325 Franklin,4,0,0
30325,B0727L,,Atrium Building Eugene,99 W. 10th,24,0,0
7701,B0021A,,Autzen Stadium East End Zone/Terrace,2780 Martin Luther King Jr. Blvd.,60,0,2
30263,B0220,,Autzen Stadium Events Bldg,2775 Leo Harris Parkway,20,0,0
7700,B0021,,Autzen Stadium Main Concourse,2755 Leo Harris Parkway,146,0,6
7704,B0021D,,Autzen Stadium North Suite Bldg,2750 Martin Luther King Jr. Blvd.,72,0,2
30266,B0223,,Autzen Stadium North Ticket Bldg,2760 Martin Luther King Jr. Blvd.,16,0,0
30265,B0222,,Autzen Stadium Operations Bldg,2785 Leo Harris Parkway,9,0,0
7703,B0021C,,Autzen Stadium South Suite Bldg,2755 Leo Harris Parkway,299,0,2
7853,B0224,,Autzen Stadium South Ticket Bldg,2745 Leo Harris Parkway,18,0,2
30264,B0221,,Autzen Stadium TV Production Bldg,2765 Leo Harris Parkway,1,0,0
