ID,Banner ID,Building Number,Building Name,Address,Number Rooms,Number Assets,Number Tickets
-1,B0001,001,Lawrence Hall,1190 Franklin Blvd.,0,0,0
-1,B0002,002,Chiles (Earle A.) Business Center,925 E. 13th,0,0,0
-1,B0003,003,Anstett Hall,965 E. 13th,0,0,0
-1,B0004,004,Condon Hall,1321 Kincaid,0,0,0
-1,B0005,005,University Hall,1201 Old Campus Lane,0,0,0
-1,B0006,006,Chapman Hall,990 E. 13th,0,0,0
-1,B0007,007,Lorry I. Lokey Education Building (A & B),1580 Kincaid; 1571 Alder,0,0,0
-1,B0008,008,Prince Lucien Campbell Hall,1415 Kincaid,0,0,0
-1,B0009,009,Friendly Hall,1161 E. 13th,0,0,0
-1,B0010,010,HEDCO Education Bldg,1655 Alder,0,0,0
-1,B0011,011,Gerlinger Hall,1468 University,0,0,0
-1,B0014,014,University Health Services,1590 E. 13th Avenue,0,0,0
-1,B0015,015,Volcanology,1255 E. 13th,0,0,0
-1,B0016,016,Johnson Hall,1098 E. 13th,0,0,0
-1,B0017,017,Allen (Eric W.) Hall,1020 University,0,0,0
-1,B0018,018,Knight Library,1501 Kincaid,0,0,0
-1,B0019,019,Fenton Hall,1021 E. 13th,0,0,0
-1,B0020,020,McArthur Court,1601 University,0,0,0
-1,B0021A,021A,Autzen Stadium East End Zone/Terrace,2780 Martin Luther King Jr. Blvd.,0,0,0
-1,B0021B,021B,Autzen Stadium West End Zone,2700 Martin Luther King Jr. Blvd.,0,0,0
-1,B0021C,021C,Autzen Stadium South Suite Bldg,2755 Leo Harris Parkway,0,0,0
-1,B0021D,021D,Autzen Stadium North Suite Bldg,2750 Martin Luther King Jr. Blvd.,0,0,0
-1,B0021,021,Autzen Stadium Main Concourse,2755 Leo Harris Parkway,0,0,0
-1,B0022,022,Peterson Hall,935 E. 13th,0,0,0
-1,B0023,023,Esslinger (Arthur A.) Hall,1525 University,0,0,0
-1,B0024,024,Schnitzer (Jordan) Museum of Art,1430 Johnson Lane,0,0,0
-1,B0025,025,Frohnmayer (Marabel B.) Music Building,961 E. 18th,0,0,0
-1,B0026,026,Wilkinson House,1291 Franklin,0,0,0
-1,B0027,027,Casanova (Len) Athletic Center,2727 Leo Harris Parkway,0,0,0
-1,B0028A,028A,Cascade Annex West,1254 Franklin,0,0,0
-1,B0028B,028B,Cascade Annex East,1264 Franklin,0,0,0
-1,B0029,029,Clinical Services Bldg,901 E. 18th,0,0,0
-1,B0030,030,McKenzie Hall,1101 Kincaid,0,0,0
-1,B0031,031,Villard Hall,1109 Old Campus Lane,0,0,0
-1,B0031A,031A,James F. Miller Theatre Complex,1109 Old Campus Lane,0,0,0
-1,B0032,032,Central Power Station,1155 Franklin,0,0,0
-1,B0033,033,Erb Memorial Union,1395 University,0,0,0
-1,B0034,034,Lillis Hall,955 E. 13th,0,0,0
-1,B0035,035,Pacific Hall,1025 University,0,0,0
-1,B0036,036,Columbia Hall,1215 E. 13th,0,0,0
-1,B0037,037,Onyx Br/Env Health,1318 Franklin,0,0,0
-1,B0038,038,Klamath Hall,1370 Franklin,0,0,0
-1,B0038A,038A,Allan Price Science Commons & Rsch Library,1344 Franklin,0,0,0
-1,B0039,039,Computing Center,1225 Kincaid,0,0,0
-1,B0040,040,Huestis Hall,1425 E. 13th,0,0,0
-1,B0040A,040A,Lorry I Lokey Laboratories,1443 E. 13th,0,0,0
-1,B0041,041,Lorry I. Lokey Education Building (C),877 E. 16th,0,0,0
-1,B0042,042,Oregon Hall,1585 E. 13th,0,0,0
-1,B0043,043,1900 Millrace Drive,1900 Millrace Drive,0,0,0
-1,B0044,044,Deschutes Hall,1477 E. 13th,0,0,0
-1,B0045,045,Streisinger (George) Hall,1390 Franklin,0,0,0
-1,B0046,046,Willamette Hall,1371 E. 13th,0,0,0
-1,B0047,047,Cascade Hall,1275 E. 13th,0,0,0
-1,B0048,048,Education Annex,922 E. 16th,0,0,0
