Bldg,Name,BannerID,Room#
B0001,001,Lawrence Hall,001106,106
B0001,001,Lawrence Hall,001124,124
B0001,001,Lawrence Hall,001125,125
B0001,001,Lawrence Hall,001126,126
B0001,001,Lawrence Hall,001145,145
B0001,001,Lawrence Hall,001185,185
B0001,001,Lawrence Hall,001185,185
B0001,001,Lawrence Hall,001192C,192C
B0001,001,Lawrence Hall,001194,194
B0001,001,Lawrence Hall,001194,194
B0001,001,Lawrence Hall,001194,194
B0001,001,Lawrence Hall,001194,194
B0001,001,Lawrence Hall,001194,194
B0001,001,Lawrence Hall,001198C,198C
B0001,001,Lawrence Hall,001200,200
B0001,001,Lawrence Hall,001200,200
B0001,001,Lawrence Hall,001203,203
B0001,001,Lawrence Hall,001205,205
B0001,001,Lawrence Hall,001205,205
B0001,001,Lawrence Hall,001210,210
B0001,001,Lawrence Hall,001210,210
B0001,001,Lawrence Hall,001212,212
B0001,001,Lawrence Hall,001229,229
B0001,001,Lawrence Hall,001237C,237C
B0001,001,Lawrence Hall,001251A,251A
B0001,001,Lawrence Hall,001254,254
B0001,001,Lawrence Hall,001254,254
B0001,001,Lawrence Hall,001254,254
B0001,001,Lawrence Hall,001254,254
B0001,001,Lawrence Hall,001264,264
B0001,001,Lawrence Hall,001264,264
B0001,001,Lawrence Hall,001280,280
B0001,001,Lawrence Hall,001290B,290B
B0001,001,Lawrence Hall,001290B,290B
B0001,001,Lawrence Hall,001290C,290C
B0001,001,Lawrence Hall,001302,302
B0001,001,Lawrence Hall,001304,304
B0001,001,Lawrence Hall,001305,305
B0001,001,Lawrence Hall,001311,311
B0001,001,Lawrence Hall,001371,371
B0001,001,Lawrence Hall,001372,372
B0001,001,Lawrence Hall,001382,382
B0001,001,Lawrence Hall,001382A,382A
B0001,001,Lawrence Hall,001477,477
B0001,001,Lawrence Hall,001M200,M200
B0001,001,Lawrence Hall,001M205,M205
B0001,001,Lawrence Hall,001M210,M210
B0001,001,Lawrence Hall,001M275,M275
B0001,001,Lawrence Hall,001M278,M278
B0001,001,Lawrence Hall,001M278,M278
B0001,001,Lawrence Hall,001M279,M279
B0001,001,Lawrence Hall,001M279,M279
B0001,001,Lawrence Hall,001M282,M282
B0001,001,Lawrence Hall,001M283,M283
B0002,002,Chiles (Earle A.) Business Center,002326,326
B0003,003,Anstett Hall,003197,197
B0003,003,Anstett Hall,003197,197
B0003,003,Anstett Hall,003291,291
B0003,003,Anstett Hall,003291,291
B0003,003,Anstett Hall,003291,291
B0003,003,Anstett Hall,003291,291
B0003,003,Anstett Hall,003291,291
B0003,003,Anstett Hall,003291,291
B0003,003,Anstett Hall,003291,291
B0003,003,Anstett Hall,003291,291
B0003,003,Anstett Hall,003291C,291C
B0003,003,Anstett Hall,003291C,291C
B0003,003,Anstett Hall,003291C,291C
B0003,003,Anstett Hall,003291C,291C
B0003,003,Anstett Hall,003291C,291C
B0003,003,Anstett Hall,003291C,291C
B0003,003,Anstett Hall,003291C,291C
B0003,003,Anstett Hall,003291C,291C
B0003,003,Anstett Hall,003291C,291C
B0003,003,Anstett Hall,003292A,292A
B0003,003,Anstett Hall,003292A,292A
B0003,003,Anstett Hall,003292A,292A
B0003,003,Anstett Hall,003292A,292A
B0003,003,Anstett Hall,003292A,292A
